Address	Length	Type	String
.text:00422E13	00000007	C	D$\bx3b
.text:00422E27	0000000C	C	|$8tG8\\$<tA;
.text:00426030	00000006	C	VhT8b
.text:005D6062	0000000A	C	9]\buMhz`]
.rdata:006206B8	0000000C	C	ACTION_NONE
.rdata:006206C4	00000013	C	ACTION_FACE_ANCHOR
.rdata:006206D8	0000000C	C	ACTION_LURK
.rdata:006206E4	00000014	C	ACTION_GET_OFF_ROOF
.rdata:006206F8	00000015	C	ACTION_ROOF_SCRAMBLE
.rdata:00620710	00000013	C	ACTION_GET_ON_WIRE
.rdata:00620724	00000015	C	ACTION_WIRE_SCRAMBLE
.rdata:0062073C	00000015	C	ACTION_AUTO_TRAVERSE
.rdata:00620754	0000000D	C	ACTION_SLIDE
.rdata:00620764	00000016	C	ACTION_GET_OFF_LADDER
.rdata:0062077C	00000015	C	ACTION_GET_ON_LADDER
.rdata:00620794	0000000E	C	ACTION_LADDER
.rdata:006207A4	0000000D	C	ACTION_PANIC
.rdata:006207B4	0000000B	C	ACTION_NAV
.rdata:006207C0	0000000C	C	ACTION_FACE
.rdata:006207CC	0000000C	C	ACTION_TURN
.rdata:006207D8	0000000D	C	ACTION_DROWN
.rdata:006207E8	00000011	C	ACTION_HANG_DROP
.rdata:006207FC	00000013	C	ACTION_JUMP_WINDUP
.rdata:00620810	0000000C	C	ACTION_LINK
.rdata:0062081C	00000012	C	ACTION_HANG_CLIMB
.rdata:00620830	00000017	C	ACTION_USER_LOCO_PRONE
.rdata:00620848	0000000C	C	ACTION_HANG
.rdata:00620854	0000000E	C	ACTION_RETURN
.rdata:00620864	00000017	C	ACTION_FALL_OFF_LADDER
.rdata:0062087C	0000000F	C	ACTION_CONTROL
.rdata:0062088C	00000013	C	ACTION_JUMP_ATTACK
.rdata:006208A0	0000000B	C	ACTION_ZOO
.rdata:006208AC	0000000D	C	ACTION_CLIFF
.rdata:006208BC	0000000C	C	ACTION_DEAD
.rdata:006208C8	0000000D	C	ACTION_DYING
.rdata:006208D8	00000012	C	ACTION_BLOCKREACT
.rdata:006208EC	0000000D	C	ACTION_BLOCK
.rdata:006208FC	0000000F	C	ACTION_TAKEHIT
.rdata:0062090C	00000010	C	ACTION_KILLMOVE
.rdata:0062091C	0000000E	C	ACTION_ATTACK
.rdata:0062092C	0000000C	C	ACTION_LAND
.rdata:00620938	0000000C	C	ACTION_FALL
.rdata:00620944	00000013	C	ACTION_JUMP_TARGET
.rdata:00620958	0000000C	C	ACTION_JUMP
.rdata:00620964	00000019	C	ACTION_USER_FACE_DIGITAL
.rdata:00620980	00000011	C	ACTION_USER_FACE
.rdata:00620994	00000011	C	ACTION_USER_LOCO
.rdata:006209A8	00000011	C	ACTION_PLAY_ANIM
.rdata:006209F0	0000000C	C	INP_EXPIRED
.rdata:006209FC	0000000D	C	INP_MAX_TIME
.rdata:00620A0C	0000000D	C	INP_MIN_TIME
.rdata:00620A34	0000000F	C	ON_EXIT_ACTION
.rdata:00620A44	00000010	C	ON_ENTER_ACTION
.rdata:00620A54	00000010	C	WEAPON_SWUNG_AT
.rdata:00620A64	00000013	C	PROJECTILE_SHOT_AT
.rdata:00620A78	00000012	C	PROJECTILE_STRIKE
.rdata:00620A8C	00000018	C	BODY_PART_HIT_BY_WEAPON
.rdata:00620AA4	0000000E	C	BODY_PART_HIT
.rdata:00620AB4	00000007	C	TARGET
.rdata:00620ABC	00000009	C	ATTACKED
.rdata:00620AC8	0000000E	C	HEALTH_BY_OBJ
.rdata:00620AD8	00000016	C	STRUCK_BY_LINK_ATTACK
.rdata:00620AF0	00000011	C	STRUCK_BY_DEVICE
.rdata:00620B04	00000014	C	STRUCK_BY_COCKROACH
.rdata:00620B18	0000001A	C	STRUCK_BY_SHOULDER_CHARGE
.rdata:00620B34	00000018	C	STRUCK_BY_SPLASH_DAMAGE
.rdata:00620B4C	00000015	C	STRUCK_BY_PROJECTILE
